player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,shot_accuracy,xg_per_shot,shooting_focus,central_finishing,box_presence,link_play,first_line_press,composite_score,has_primary_season
817724,Danny Namaso,8583,Auxerre,FRA-Ligue 1,0.8,21.2,5.0,0.0,0.8,2.0,0.07,0.2,2.2,3.0,0.11,0.4,0.6,0.1,0.7,6.78,0.0,32.0,2.3,1.2,1.2,2453,29,Attacker,0.42105263157894735,0.25,0.03773584905660378,0.5454545454545454,0.2608695652173913,0.08695652173913045,1.9166666666666665,21.62912912912913,36.448948948948946,66.41141141141142,52.88288288288288,32.60208687916528,True
474448,Antonio Sanabria,7801,Cremonese,ITA-Serie A,0.3,13.9,3.0,0.0,1.4,0.2,0.02,0.28,1.4,1.0,0.1,0.1,0.4,0.0,0.0,6.19,0.0,6.0,1.1,0.2,0.7,941,25,Attacker,0.17647058823529416,0.3333333333333333,0.021582733812949638,0.5,0.36363636363636365,0.2545454545454546,1.5714285714285716,50.04504504504504,32.469969969969966,15.232732732732732,12.552552552552552,32.545292239460885,True
956925,Georginio Rutter,10204,Brighton and Hove Albion,ENG-Premier League,0.8,15.3,8.0,0.0,1.3,2.6,0.13,0.13,1.5,3.0,0.15,0.5,0.7,0.1,0.9,6.62,0.0,24.0,2.0,1.6,1.4,1749,30,Attacker,0.5833333333333334,0.23809523809523808,0.05228758169934641,0.9333333333333332,0.35,0.065,1.4285714285714286,23.61765401765402,33.38272818272818,46.89343889343889,71.97703157703158,32.4738690011726,True
1669628,Jeff Ekhator,10233,Genoa,ITA-Serie A,0.2,10.3,1.0,0.0,0.5,0.4,0.04,0.23,2.0,0.0,0.29,0.2,0.4,0.0,0.7,6.33,0.0,10.0,1.8,1.2,1.2,918,29,Attacker,0.4117647058823529,0.14285714285714288,0.019417475728155338,0.6,0.22222222222222224,0.12777777777777777,1.5,40.03003003003003,28.888888888888893,13.25075075075075,54.1966966966967,32.424107600909814,True
1215064,Martin Baturina,10171,Como,ITA-Serie A,0.7,42.5,7.0,0.0,0.1,4.3,0.28,0.1,0.9,3.0,0.38,0.3,0.6,0.1,1.0,7.17,0.0,52.0,1.5,1.2,1.3,1404,27,Attacker,0.625,0.19999999999999998,0.016470588235294115,1.4444444444444444,0.39999999999999997,0.06666666666666667,1.1538461538461537,33.325825825825824,17.484984984984983,96.56906906906906,80.3078078078078,31.27073254741152,True
860752,Rubén Vargas,8302,Sevilla,ESP-La Liga,1.5,22.3,4.0,0.0,0.8,2.2,0.13,0.18,0.8,6.0,0.18,0.4,0.5,0.1,0.6,7.04,0.0,25.0,2.2,0.9,1.2,1528,22,Attacker,0.6190476190476191,0.3076923076923077,0.06726457399103139,1.4999999999999998,0.22727272727272727,0.0818181818181818,1.8333333333333335,21.824324324324326,31.554054054054056,67.16216216216216,57.68768768768769,31.190272486004254,True
1248482,Antonio Nusa,178475,RB Leipzig,GER-Bundesliga,0.8,20.6,8.0,0.0,0.3,5.1,0.23,0.19,0.4,3.0,0.18,0.4,0.9,0.0,0.4,7.19,0.0,32.0,2.7,1.1,3.0,2008,30,Attacker,0.7894736842105263,0.26666666666666666,0.038834951456310676,7.5,0.3333333333333333,0.07037037037037036,0.9,21.12336882336882,30.50684320684321,70.28951678951678,58.38002548002547,30.547780730269498,True
1073498,Patrick Wimmer,8721,VfL Wolfsburg,GER-Bundesliga,0.8,17.7,4.0,0.0,1.2,2.2,0.12,0.17,1.5,3.0,0.22,1.4,0.4,0.1,0.8,6.86,0.0,16.0,1.3,2.6,2.1,1634,25,Attacker,0.7272727272727273,0.35,0.04519774011299436,1.4000000000000001,0.3076923076923077,0.13076923076923078,0.6190476190476191,30.407898807898803,21.36222586222586,50.15047775047774,73.83310583310583,30.33233101556822,True
1318400,Kevin,9879,Fulham,ENG-Premier League,1.6,22.9,1.0,0.0,0.7,1.4,0.14,0.11,1.2,1.0,0.1,0.9,1.0,0.0,0.6,6.6,0.0,13.0,2.2,2.0,3.9,932,24,Attacker,0.7073170731707318,0.3103448275862069,0.06986899563318778,3.25,0.45454545454545453,0.049999999999999996,0.5641025641025642,20.653153153153152,32.409909909909906,50.63063063063063,64.72972972972973,30.326157683657314,True
1624039,Jesús Rodríguez,10171,Como,ITA-Serie A,0.4,18.9,8.0,0.0,0.6,3.8,0.21,0.22,1.2,7.0,0.06,0.3,0.6,0.0,0.6,6.86,0.0,33.0,2.4,1.3,2.1,1633,29,Attacker,0.5714285714285715,0.18749999999999997,0.021164021164021166,1.7500000000000002,0.25,0.09166666666666667,1.1428571428571428,22.041332241332242,29.193156793156792,59.18736918736919,58.98173628173628,30.040158463936145,True
