player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,shot_accuracy,xg_per_shot,finishing,link_play,box_presence,press_leadership,composite_score,has_primary_season,is_manual_add,nationality
900433,Khvicha Kvaratskhelia,9847,Paris Saint-Germain,FRA-Ligue 1,1.1,43.8,7.0,0.0,0.4,4.0,0.38,0.33,1.3,3.0,0.39,0.6,1.6,0.2,0.7,7.13,0.0,25.0,3.7,1.6,2.4,927,18,Attacker,0.6285714285714287,0.2727272727272727,0.0251141552511415,1.846153846153846,0.4324324324324324,0.0891891891891892,38.20516018179803,66.25154731552304,45.08073753833647,53.94542364113365,48.95806996944872,True,False,Georgia
292313,Raul Jiménez,9879,Fulham,ENG-Premier League,0.6,13.6,2.0,0.0,1.3,0.7,0.04,0.44,1.8,3.0,0.31,0.4,0.8,0.1,0.3,6.82,0.0,20.0,3.0,1.3,0.4,1718,25,Attacker,0.4857142857142857,0.2352941176470588,0.0441176470588235,0.2222222222222222,0.2666666666666666,0.1466666666666666,59.35765620958504,33.45261519417655,66.6158592912833,40.1244549754277,48.94707901469526,True,False,Mexico
889785,Jonas Wind,8721,VfL Wolfsburg,GER-Bundesliga,0.9,19.6,9.0,0.0,0.6,4.9,0.22,0.26,0.7,3.0,0.41,0.3,0.6,0.1,0.5,6.87,0.0,34.0,1.8,0.5,0.3,1971,31,Attacker,0.5333333333333333,0.3749999999999999,0.0459183673469387,0.4285714285714286,0.3333333333333333,0.1444444444444444,53.31615120274913,58.03264604810997,41.27147766323024,43.03264604810997,48.938183540489455,False,False,Denmark
1016093,Gustav Isaksen,8543,Lazio,ITA-Serie A,0.8,22.2,0.0,0.0,0.4,0.7,0.06,0.2,1.2,1.0,0.25,0.5,1.1,0.2,0.9,6.79,0.0,13.0,2.5,1.1,1.4,1066,19,Attacker,0.5714285714285715,0.3125,0.036036036036036,1.1666666666666667,0.44,0.08,38.06421590363227,58.221903521413,45.64890256069172,61.24230961090788,48.71857354908936,True,False,Denmark
469615,Giovanni Simeone,9804,Torino,ITA-Serie A,0.4,13.1,2.0,0.0,0.8,0.6,0.04,0.38,1.3,0.0,0.37,0.0,1.3,0.0,0.7,6.63,0.0,9.0,3.2,0.7,1.1,1203,19,Attacker,0.35,0.0,0.0305343511450381,0.8461538461538461,0.40625,0.11875,58.98185483870968,29.13306451612903,67.96370967741936,45.60483870967742,48.66127951996992,True,False,Argentina
747767,Ikoma Lois Openda,178475,RB Leipzig,GER-Bundesliga,0.4,13.6,7.0,0.0,0.4,2.3,0.08,0.33,1.1,5.0,0.33,0.2,1.2,0.0,0.5,7.05,0.0,29.0,2.9,0.3,0.8,2463,33,Attacker,0.3125,0.4,0.0294117647058823,0.7272727272727273,0.4137931034482758,0.1137931034482758,56.42611683848797,42.13917525773197,64.69072164948453,32.22508591065292,48.52492499020981,False,False,Belgium
1169595,Ilyas Chaira,8670,Real Oviedo,ESP-La Liga,0.4,21.1,2.0,0.0,0.6,0.8,0.05,0.25,2.0,1.0,0.19,0.3,1.1,0.3,0.7,6.58,0.0,9.0,2.5,1.9,1.3,1406,21,Attacker,0.5238095238095238,0.1363636363636363,0.0189573459715639,0.65,0.44,0.1,42.48991935483871,44.203629032258064,52.479838709677416,60.2016129032258,48.50315639630421,True,False,Morocco
1180718,Mohamed-Ali Cho,9831,Nice,FRA-Ligue 1,0.5,19.1,6.0,0.0,0.5,2.2,0.2,0.19,0.6,2.0,0.36,0.3,0.6,0.2,0.6,6.83,0.0,16.0,1.5,0.7,1.2,988,14,Attacker,0.625,0.3,0.0261780104712041,2.0,0.3999999999999999,0.1266666666666666,44.65626501127,63.66937793297122,35.4402690019584,57.0306553227654,48.36634789836493,True,False,France
536455,Goncalo Guedes,8560,Real Sociedad,ESP-La Liga,1.0,19.1,4.0,0.0,0.3,1.9,0.13,0.19,1.0,3.0,0.41,0.2,1.0,0.0,0.6,6.82,0.0,18.0,2.2,1.3,1.0,1323,24,Attacker,0.6,0.1333333333333333,0.0523560209424083,1.0,0.4545454545454545,0.0863636363636363,44.03761593319292,53.55524609245094,43.05860399807856,56.37313860252005,48.31445378816757,True,False,Portugal
654908,Richarlison,8586,Tottenham Hotspur,ENG-Premier League,0.5,9.2,3.0,0.0,2.8,1.2,0.08,0.33,1.0,3.0,0.49,0.3,0.9,0.1,0.6,6.88,0.0,14.0,2.5,1.1,0.5,1278,21,Attacker,0.5833333333333333,0.2142857142857142,0.0543478260869565,0.5,0.36,0.132,60.38306451612903,26.814516129032256,56.37096774193548,58.30645161290322,48.11430659200409,True,False,Brazil
