player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,chance_quality,shot_accuracy,xg_per_shot,goal_involvement_balance,creative_output,goal_threat,half_space_craft,counter_press,composite_score,has_primary_season,is_manual_add,nationality
1012842,Gianluca Gaetano,8529,Cagliari,ITA-Serie A,2.8,37.0,2.0,0.0,1.2,1.0,0.09,0.1,1.5,3.0,0.17,0.7,0.7,0.0,0.1,6.77,0.0,19.0,1.7,1.0,0.8,1086,23,Midfielder,0.53125,0.4117647058823529,0.0756756756756756,0.5333333333333333,0.0526315789473684,0.4117647058823529,0.0588235294117647,0.0473684210526315,44.89440630363551,51.647136838820416,59.87195740365112,31.87154132209913,46.65580745324733,True,False,Italy
941213,Crysencio Summerville,8654,West Ham United,ENG-Premier League,0.4,19.1,1.0,0.0,1.2,1.3,0.07,0.18,1.8,1.0,0.23,0.6,0.7,0.2,0.5,6.95,0.0,16.0,1.9,1.4,1.6,1594,21,Attacker,0.5263157894736842,0.3,0.0209424083769633,0.888888888888889,0.08125,0.3684210526315789,0.0947368421052631,0.0504,32.76470588235294,58.44117647058823,58.27205882352941,44.72058823529412,46.53376708826833,True,False,Netherlands
1284429,Javier Guerra,10267,Valencia CF,ESP-La Liga,2.3,35.0,4.0,0.0,1.7,1.2,0.1,0.09,1.4,3.0,0.0,1.1,0.3,0.3,0.2,6.64,0.0,12.0,1.1,1.2,1.1,1077,23,Midfielder,0.6216216216216216,0.4782608695652174,0.0657142857142857,0.7857142857142858,0.0999999999999999,0.2727272727272727,0.0818181818181818,0.0473684210526315,55.368726270348986,28.69022728454777,61.29554142611952,46.46637540958028,46.52622727270401,True,False,Spain
1169595,Ilyas Chaira,8670,Real Oviedo,ESP-La Liga,0.4,21.1,2.0,0.0,0.6,0.8,0.05,0.25,2.0,1.0,0.19,0.3,1.1,0.3,0.7,6.58,0.0,9.0,2.5,1.9,1.3,1406,21,Attacker,0.5238095238095238,0.1363636363636363,0.0189573459715639,0.65,0.0888888888888888,0.44,0.1,0.0416666666666666,29.448529411764707,66.20588235294117,51.67279411764706,52.11029411764706,46.52039776761579,True,False,Morocco
844544,Pape Gueye,10205,Villarreal,ESP-La Liga,3.4,36.4,2.0,0.0,2.1,2.1,0.16,0.08,1.9,1.0,0.15,1.1,0.4,0.3,0.7,6.94,0.0,13.0,1.8,1.3,0.4,1217,18,Midfielder,0.5581395348837209,0.4583333333333333,0.0934065934065934,0.2105263157894737,0.1615384615384615,0.2222222222222222,0.0444444444444444,0.0533333333333333,59.26081812035159,30.78577001092214,41.46678498985801,62.54665314401623,46.51400169245052,True,False,Senegal
921825,Jon Moncayola,8371,Osasuna,ESP-La Liga,3.2,35.0,7.0,0.0,1.6,2.3,0.11,0.08,1.2,4.0,0.0,0.7,0.1,0.1,0.4,7.08,0.0,26.0,0.8,1.6,0.5,1847,22,Midfielder,0.6571428571428571,0.3043478260869565,0.0914285714285714,0.4166666666666667,0.0884615384615384,0.125,0.0999999999999999,0.0463157894736842,66.7212123576221,31.51912674884277,41.46623238154678,50.7264263795704,46.49360490679927,True,False,Spain
847357,Mehdi Leris,6479,Pisa,ITA-Serie A,1.5,19.6,5.0,0.0,2.3,1.6,0.13,0.12,1.3,3.0,0.08,0.9,0.5,0.6,0.5,6.79,0.0,20.0,1.7,3.0,0.4,1069,23,Midfielder,0.75,0.2307692307692307,0.0765306122448979,0.3076923076923077,0.08,0.2941176470588235,0.0705882352941176,0.0624,55.897058823529406,36.65441176470588,35.018382352941174,66.75367647058823,46.36788734399439,True,False,Algeria
1255855,Yassine Kechta,9746,Le Havre,FRA-Ligue 1,0.7,21.8,3.0,0.0,1.3,1.5,0.13,0.12,2.4,1.0,0.09,1.2,0.5,0.3,0.7,6.47,0.0,9.0,1.4,2.0,0.4,1015,20,Midfielder,0.5714285714285715,0.3749999999999999,0.0321100917431192,0.1666666666666666,0.1666666666666666,0.3571428571428571,0.0857142857142857,0.0624,50.50345867790086,45.23877880064492,33.75848416289593,62.471933999063815,46.356088059750256,True,False,Morocco
1367615,Warren Zaire-Emery,9847,Paris Saint-Germain,FRA-Ligue 1,1.3,67.8,6.0,0.0,0.7,2.2,0.11,0.03,1.3,3.0,0.05,0.5,0.2,0.3,0.5,7.4,0.0,31.0,0.7,1.7,1.1,1776,22,Midfielder,0.6285714285714287,0.2272727272727272,0.0191740412979351,0.8461538461538461,0.0709677419354838,0.2857142857142857,0.0428571428571428,0.0235714285714285,48.97399490300099,26.75591615956728,62.23624330368752,57.20773521610236,46.11544561361688,True,False,France
1323510,Alberto Reina,8670,Real Oviedo,ESP-La Liga,2.1,30.3,2.0,0.0,0.7,1.1,0.08,0.11,1.5,0.0,0.15,0.7,0.4,0.1,0.3,6.5,0.0,12.0,0.9,1.7,0.7,1239,22,Midfielder,0.6153846153846154,0.2916666666666667,0.0693069306930693,0.4666666666666666,0.0916666666666666,0.4444444444444445,0.1222222222222222,0.0463157894736842,38.86029411764706,59.93382352941177,47.794117647058826,41.014705882352935,46.10004544930615,True,False,Spain
1553105,Victor Munoz,8371,Osasuna,ESP-La Liga,0.1,14.8,0.0,0.0,0.8,1.3,0.07,0.15,1.0,1.0,0.2,0.3,0.9,0.0,0.8,6.74,0.0,14.0,2.3,0.8,2.6,1829,24,Attacker,0.5238095238095238,0.2727272727272727,0.0067567567567567,2.6,0.0928571428571428,0.391304347826087,0.0652173913043478,0.0477272727272727,32.93382352941177,49.23529411764706,63.106617647058826,47.43749999999999,46.08980439203033,True,False,Spain
1561552,Ayyoub Bouaddi,8639,Lille,FRA-Ligue 1,1.3,33.7,2.0,0.0,1.1,1.1,0.07,0.09,1.7,1.0,0.0,1.1,0.2,0.4,0.6,7.05,0.0,17.0,0.8,2.4,1.4,1508,20,Midfielder,0.673076923076923,0.3142857142857143,0.0385756676557863,0.8235294117647058,0.0647058823529411,0.25,0.1124999999999999,0.039375,38.56195714360015,32.925157330836846,59.102401570707855,67.14118817288188,46.08172964071175,True,False,Morocco
751550,Diogo Dalot,10260,Manchester United,ENG-Premier League,1.4,31.8,4.0,0.0,3.1,1.9,0.09,0.07,0.8,3.0,0.05,0.8,0.2,0.3,0.3,7.12,0.0,22.0,0.8,1.8,0.7,1847,24,Midfielder,0.7647058823529411,0.3076923076923077,0.0440251572327044,0.8749999999999999,0.0863636363636363,0.25,0.0875,0.039375,50.61412336818017,30.39548551516097,53.52924923284963,55.40982082488167,46.00964943756525,True,False,Portugal
