player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,saves_per_match,clean_sheet_rate,build_up_involvement,shot_stopping,sweeper_behind_line,composite_score,has_primary_season
1053679,Zion Suzuki,10167,Parma,ITA-Serie A,0.0,22.0,0.0,5.0,1.1,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87,3.2,1.0,0.0,0.0,0.0,1710,19,Keeper,0.0,0.0,0.0,0.0,0.16842105263157894,0.2631578947368421,53.0501443001443,60.24981962481962,63.72324434824435,58.067564423168804,True
1067256,Djordje Petrovic,8678,Bournemouth,ENG-Premier League,0.0,15.2,0.0,11.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97,2.9,0.0,0.0,0.0,0.0,3240,36,Keeper,0.0,0.0,0.0,0.0,0.08055555555555555,0.3055555555555556,49.565295815295805,60.44973544973545,70.4277898027898,58.008967752812495,True
330643,Mark Flekken,8178,Bayer 04 Leverkusen,GER-Bundesliga,0.0,22.4,1.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73,3.3,1.0,0.0,0.0,0.0,2040,23,Keeper,0.0,0.0,0.0,0.0,0.14347826086956522,0.21739130434782608,58.31228956228957,60.44973544973544,54.0304834054834,57.93643822062859,True
27299,Manuel Neuer,9823,Bayern München,GER-Bundesliga,0.0,28.2,0.0,6.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81,1.6,0.0,0.0,0.0,0.0,1800,21,Keeper,0.0,0.0,0.0,0.0,0.0761904761904762,0.2857142857142857,67.16871091871091,50.35924723424724,55.23959836459836,57.83052884985488,True
466439,Mike Maignan,8564,Milan,ITA-Serie A,0.0,23.3,0.0,13.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23,2.8,0.0,0.0,0.0,0.1,3116,35,Keeper,0.0,0.0,0.0,0.0,0.08,0.37142857142857144,60.827922077922075,57.105278980278975,51.35852573352573,57.03363076473772,True
1177131,Lucas Chevalier,9847,Paris Saint-Germain,FRA-Ligue 1,0.0,20.6,0.0,9.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.9,0.0,0.0,0.0,0.0,1530,17,Keeper,0.0,0.0,0.0,0.0,0.11176470588235293,0.5294117647058824,50.829124579124574,78.70370370370371,43.48184223184223,56.96660600765469,True
1352996,Mio Backhaus,8697,SV Werder Bremen,GER-Bundesliga,0.0,25.8,0.0,5.0,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.81,3.1,0.0,0.0,0.0,0.0,2790,31,Keeper,0.0,0.0,0.0,0.0,0.1,0.16129032258064516,62.410714285714285,43.30357142857143,71.29464285714286,56.77422129889922,True
1013021,Marco Carnesecchi,8524,Atalanta,ITA-Serie A,0.0,20.8,0.0,13.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,3.1,0.0,0.0,0.0,0.0,3240,36,Keeper,0.0,0.0,0.0,0.0,0.08611111111111111,0.3611111111111111,48.91714766714767,64.8989898989899,59.48232323232324,56.71066096085628,True
195782,Marco Bizot,8521,Brest,FRA-Ligue 1,0.0,20.1,0.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87,2.4,0.0,0.0,0.1,0.0,2880,32,Keeper,1.0,0.0,0.0,0.0,0.075,0.3125,51.11111111111111,52.77777777777777,73.78787878787878,56.657873494543026,False
170323,Thibaut Courtois,8633,Real Madrid,ESP-La Liga,0.0,23.7,1.0,12.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08,2.1,1.0,0.0,0.0,0.0,2700,30,Keeper,0.0,0.0,0.0,0.0,0.07,0.4,57.23244348244348,58.183020683020686,53.621332371332365,56.633057400433074,True
538501,Guglielmo Vicario,8586,Tottenham Hotspur,ENG-Premier League,0.0,23.2,0.0,7.0,1.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68,2.7,1.0,0.0,0.0,0.0,2790,31,Keeper,0.0,0.0,0.0,0.0,0.08709677419354839,0.22580645161290322,59.24302549302549,46.97270322270322,68.36249398749399,56.61158446591825,True
