player_id,player,team_id,team,league,accurate_long_balls,accurate_pass,big_chance_created,clean_sheet,effective_clearance,expected_assists,expected_assists_per_90,expected_goals_per_90,fouls,goal_assist,goals_per_90,interception,ontarget_scoring_att,outfielder_block,poss_won_att_3rd,rating,saves,total_att_assist,total_scoring_att,total_tackle,won_contest,minutes_played,matches_played,position,clean_defend_rate,interception_share,progressive_pass_share,carry_to_foul_ratio,chance_creation_rate,xg_per_shot,ball_carrying,box_arrival,creative_link,counter_press,composite_score,has_primary_season,is_manual_add,nationality
1174672,Joao Gomes,8602,Wolverhampton Wanderers,ENG-Premier League,1.3,41.0,1.0,0.0,1.6,1.3,0.06,0.04,2.3,0.0,0.0,1.3,0.2,0.2,0.4,6.9,0.0,13.0,0.5,3.3,1.2,2026,25,Midfielder,0.6666666666666666,0.2826086956521739,0.0317073170731707,0.5217391304347826,0.3170731707317073,0.08,58.01567541263366,35.512250686611736,40.7764795483028,67.07868370530359,48.37015662012738,True,False,Brazil
213516,Daniel Rodriguez,8661,Mallorca,ESP-La Liga,0.9,19.0,7.0,0.0,1.0,3.4,0.14,0.11,2.1,7.0,0.17,0.5,0.4,0.1,0.4,6.71,0.0,33.0,1.3,2.0,0.7,2175,37,Midfielder,0.5434782608695653,0.2,0.0473684210526315,0.3333333333333333,1.736842105263158,0.0846153846153846,36.6414686825054,61.0475161987041,65.4157667386609,36.93844492440605,48.19757549051898,False,False,Spain
602523,Maximilian Eggestein,8358,Sport-Club Freiburg,GER-Bundesliga,1.2,33.9,2.0,0.0,2.1,1.2,0.05,0.13,0.7,0.0,0.09,1.0,0.4,0.5,0.4,6.93,0.0,14.0,1.5,2.1,0.5,1980,22,Midfielder,0.8157894736842106,0.3225806451612903,0.0353982300884955,0.7142857142857143,0.4129793510324483,0.0866666666666666,43.299686025118,52.80755039596832,39.78103418393196,63.90767905234247,48.15585034452429,True,False,Germany
730901,Yangel Herrera,7732,Girona,ESP-La Liga,1.4,34.1,5.0,0.0,1.9,1.3,0.05,0.14,2.9,3.0,0.16,1.2,0.6,0.3,0.3,6.99,0.0,17.0,1.6,2.6,0.8,2263,29,Midfielder,0.5671641791044777,0.3157894736842105,0.0410557184750733,0.2758620689655172,0.4985337243401759,0.0875,45.0,66.90604751619871,35.05399568034558,52.42980561555075,48.13158123544643,False,False,Venezuela
1238154,Pablo Ibánez,9866,Alavés,ESP-La Liga,0.9,36.1,1.0,0.0,1.4,1.0,0.06,0.22,1.6,1.0,0.06,0.8,0.6,0.4,0.5,6.7,0.0,12.0,2.0,1.9,1.7,1449,24,Midfielder,0.6279069767441859,0.2962962962962963,0.0249307479224376,1.0625,0.3324099722991689,0.11,60.80124423379462,64.60760639148867,27.370543689838144,46.72867003973016,47.97137790391833,True,False,Spain
625340,Mauro Arambarri,8305,Getafe,ESP-La Liga,1.1,17.2,1.0,0.0,0.9,0.5,0.02,0.19,1.4,1.0,0.21,0.7,0.5,0.2,0.7,7.02,0.0,13.0,1.7,2.0,0.7,2130,24,Midfielder,0.6585365853658538,0.2592592592592592,0.063953488372093,0.5,0.7558139534883721,0.1117647058823529,44.03955183585313,81.72770345039062,30.75518125216649,48.83365997386876,47.96987853344856,True,False,Uruguay
571615,Unai Lopez,8370,Rayo Vallecano,ESP-La Liga,4.1,53.7,1.0,0.0,1.2,1.0,0.09,0.04,2.0,3.0,0.0,1.1,0.3,0.3,0.3,7.0,0.0,22.0,1.2,1.7,0.6,1045,17,Midfielder,0.5833333333333334,0.3928571428571429,0.0763500931098696,0.3,0.4096834264432029,0.0333333333333333,66.17542263285604,29.133261005786206,54.53546216302696,47.02192991227368,47.96629029105311,True,False,Spain
1127054,Tomas Suslov,9876,Verona,ITA-Serie A,1.6,15.5,4.0,0.0,0.6,1.7,0.07,0.07,2.3,1.0,0.0,0.8,0.3,0.1,0.5,6.62,0.0,27.0,1.4,2.3,1.5,2097,31,Midfielder,0.5740740740740741,0.2580645161290323,0.1032258064516129,0.6521739130434783,1.7419354838709675,0.05,62.78617710583154,29.746220302375807,51.414686825054,52.92116630669548,47.88669229435506,False,False,Slovakia
954621,Youssouf Fofana,8564,Milan,ITA-Serie A,0.9,27.1,2.0,0.0,0.7,2.0,0.12,0.16,1.0,2.0,0.06,0.5,0.6,0.1,0.7,6.81,0.0,21.0,1.8,1.9,0.4,1475,21,Midfielder,0.7058823529411765,0.2083333333333333,0.033210332103321,0.4,0.7749077490774907,0.0888888888888888,37.23144648428126,50.269961736394414,57.010380836199765,52.52412307015438,47.82559249630795,True,False,France
1106742,Sergio Carreira,9910,Celta de Vigo,ESP-La Liga,2.0,43.4,0.0,0.0,2.4,1.1,0.06,0.07,0.7,1.0,0.11,0.9,0.2,0.1,0.2,7.05,0.0,13.0,0.6,1.4,0.9,1645,21,Midfielder,0.7666666666666666,0.391304347826087,0.0460829493087557,1.2857142857142858,0.2995391705069125,0.1166666666666666,67.16051882516065,41.39088039623497,40.52944931072181,42.07661720395702,47.76515791201157,True,False,Spain
362120,Danilo Cataldi,8543,Lazio,ITA-Serie A,2.1,41.4,2.0,0.0,2.1,1.2,0.06,0.15,1.0,3.0,0.16,1.0,0.3,0.4,0.3,7.05,0.0,18.0,1.2,1.4,0.3,1683,22,Midfielder,0.7058823529411765,0.4166666666666667,0.0507246376811594,0.3,0.4347826086956521,0.125,42.20353205076928,62.47558528651041,42.04958603311735,48.09565234781218,47.74125354723464,True,False,Italy
1292354,Theo Le Bris,8689,Lorient,FRA-Ligue 1,0.5,26.4,2.0,0.0,1.8,1.6,0.1,0.08,0.5,2.0,0.13,0.6,0.3,0.1,0.3,6.98,0.0,12.0,0.8,1.9,0.7,1436,21,Midfielder,0.8333333333333334,0.24,0.0189393939393939,1.4,0.4545454545454546,0.0999999999999999,47.51736111111112,55.97800925925926,38.92361111111111,50.35300925925926,47.64511986908306,True,False,France
1323510,Alberto Reina,8670,Real Oviedo,ESP-La Liga,2.1,30.3,2.0,0.0,0.7,1.1,0.08,0.11,1.5,0.0,0.15,0.7,0.4,0.1,0.3,6.5,0.0,12.0,0.9,1.7,0.7,1239,22,Midfielder,0.6153846153846154,0.2916666666666667,0.0693069306930693,0.4666666666666666,0.396039603960396,0.1222222222222222,54.60069444444444,69.04513888888889,36.21527777777778,34.38657407407408,47.63689693695884,True,False,Spain
1481909,Ebenezer Akinsanmiro,6479,Pisa,ITA-Serie A,1.7,25.4,2.0,0.0,1.1,1.1,0.11,0.06,2.2,1.0,0.0,1.5,0.3,0.3,0.7,6.98,0.0,12.0,1.1,2.1,1.5,933,14,Midfielder,0.6206896551724137,0.4166666666666666,0.0669291338582677,0.6818181818181818,0.4724409448818898,0.0545454545454545,65.52083333333334,28.49537037037037,40.138888888888886,69.4675925925926,47.62721496240119,True,False,Nigeria
75307,Daniel Parejo,10205,Villarreal,ESP-La Liga,3.5,46.9,3.0,0.0,1.0,0.9,0.08,0.01,1.0,0.0,0.0,0.9,0.0,0.5,0.1,6.79,0.0,18.0,0.2,2.5,0.5,1016,20,Midfielder,0.7727272727272726,0.2647058823529412,0.0746268656716418,0.5,0.3837953091684435,0.0499999999999999,60.61139275524624,27.79430145588353,51.931320494360456,57.85880462896301,47.54298579042781,True,False,Spain
1296650,Adam Wharton,9826,Crystal Palace,ENG-Premier League,2.5,34.0,9.0,0.0,1.5,5.0,0.24,0.05,1.0,3.0,0.0,1.0,0.1,0.1,0.6,7.06,0.0,27.0,1.0,2.6,0.5,1905,23,Midfielder,0.782608695652174,0.2777777777777778,0.0735294117647058,0.5,0.7941176470588235,0.05,49.6234467909234,19.219479108338,73.59063774898009,79.76668533184012,47.50194932508185,True,False,England
